BlockId,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29
blk_7503483334202473044,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
blk_-9073992586687739851,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
blk_7854771516489510256,0,3,1,15,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
blk_1717858812220360316,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
blk_-3544583377289625738,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,3,0,0,0
blk_-2519617320378473615,0,2,1,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
blk_7063315473424667801,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,1,0,0
blk_8586544123689943463,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,5,0,0,0
blk_2765344736980045501,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,2,0
blk_-1030832046197982436,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,1,0
blk_-1046472716157313227,0,2,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,3,0,0,0
blk_38865049064139660,0,2,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,0,0
